"ID","Binomial","Replicate","Confidential","Reference","Source_year","Class","Order","Family","Genus","Species","Subspecies","Authority","Common_name","Location","Country","All_countries","Region","Latitude","Longitude","Specific_location","System","T_realm","T_biome","FW_realm","FW_biome","M_realm","M_ocean","M_biome","Range","GROMS_category","Units","Method","Notes","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Managed","Management_type","Utilised","CITES","CMS","Protected_status","Ramsar","WHS","Biosphere","Other_PA","Threat_status","Primary_threat","Secondary_threat","Tertiary_threat","Caught_and_used","Sport_hunting","Persecuted_as_pest","Pet_trade","Indirect_killing","Introduction","Recolonisation","Recruitment","Removal_of_threat","Rural_to_urban migration","Reintroduction","Range_shift","Legal_protection","Management","Unknown","Other"
29920,"Falco_biarmicus",0,0,"Shaw2024AfricanSavannaRaptors",2024,"Aves","Falconiformes","Falconidae","Falco","biarmicus","NULL","Temminck, 1825","Lanner falcon","N. Botswana - Unprotected","Botswana","Botswana","Africa",-23.48,22.1985,0,"Terrestrial","Afrotropical","Deserts and xeric shrublands","NULL","NULL","NULL","NULL","NULL","Native","Partial","Encounter rate (birds 100 km-1)","Road transect survey","Supplementary Table 3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.18","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.12","NULL","NULL","NULL","NULL","NULL","NULL","Unknown","NULL","Unknown","II","II","No","0","0","0","0","Unknown (large data set)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
29919,"Falco_biarmicus",0,0,"Shaw2024AfricanSavannaRaptors",2024,"Aves","Falconiformes","Falconidae","Falco","biarmicus","NULL","Temminck, 1825","Lanner falcon","N. Botswana - Protected","Botswana","Botswana","Africa",-20.3803,24.1097,0,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL","Native","Partial","Encounter rate (birds 100 km-1)","Road transect survey","Supplementary Table 3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.48","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.35","NULL","NULL","NULL","NULL","NULL","NULL","Unknown","NULL","Unknown","II","II","Yes","0","0","0","0","Unknown (large data set)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
29918,"Falco_biarmicus",0,0,"Shaw2024AfricanSavannaRaptors",2024,"Aves","Falconiformes","Falconidae","Falco","biarmicus","NULL","Temminck, 1825","Lanner falcon","West Africa - Unprotected","Burkina Faso","Burkina Faso, Niger, Mali","Africa",13.6421,-0.9697,0,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL","Native","Partial","Encounter rate (birds 100 km-1)","Road transect survey","Supplementary Table 3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1.9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1.2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Unknown","NULL","Unknown","II","II","No","0","0","0","0","Unknown (large data set)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
29917,"Falco_biarmicus",0,0,"Shaw2024AfricanSavannaRaptors",2024,"Aves","Falconiformes","Falconidae","Falco","biarmicus","NULL","Temminck, 1825","Lanner falcon","West Africa - Protected","Burkina Faso","Burkina Faso, Niger, Mali","Africa",14.9167,0.1971,0,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL","Native","Partial","Encounter rate (birds 100 km-1)","Road transect survey","Supplementary Table 3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1.3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Unknown","NULL","Unknown","II","II","Yes","0","0","0","0","Unknown (large data set)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
29916,"Falco_ruficollis",0,0,"Shaw2024AfricanSavannaRaptors",2024,"Aves","Falconiformes","Falconidae","Falco","ruficollis","NULL","Swainson, 1837","Red-necked falcon","West Africa - Unprotected","Burkina Faso","Burkina Faso, Niger, Mali","Africa",13.6421,-0.9697,0,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL","Native","Not in GROMS","Encounter rate (birds 100 km-1)","Road transect survey","Supplementary Table 3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1.5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Unknown","NULL","Unknown","Not listed","Not listed","No","0","0","0","0","Unknown (large data set)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
29915,"Falco_ruficollis",0,0,"Shaw2024AfricanSavannaRaptors",2024,"Aves","Falconiformes","Falconidae","Falco","ruficollis","NULL","Swainson, 1837","Red-necked falcon","West Africa - Protected","Burkina Faso","Burkina Faso, Niger, Mali","Africa",14.9167,0.1971,0,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL","Native","Not in GROMS","Encounter rate (birds 100 km-1)","Road transect survey","Supplementary Table 3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1.1000000000000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Unknown","NULL","Unknown","Not listed","Not listed","Yes","0","0","0","0","Unknown (large data set)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
29914,"Falco_dickinsoni",0,0,"Shaw2024AfricanSavannaRaptors",2024,"Aves","Falconiformes","Falconidae","Falco","dickinsoni","NULL","Sclater, 1864","Dickinson's kestrel","N. Botswana - Unprotected","Botswana","Botswana","Africa",-23.48,22.1985,0,"Terrestrial","Afrotropical","Deserts and xeric shrublands","NULL","NULL","NULL","NULL","NULL","Native","Not in GROMS","Encounter rate (birds 100 km-1)","Road transect survey","Supplementary Table 3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.09","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.01","NULL","NULL","NULL","NULL","NULL","NULL","Unknown","NULL","Unknown","II","Not listed","No","0","0","0","0","Unknown (large data set)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
29913,"Falco_dickinsoni",0,0,"Shaw2024AfricanSavannaRaptors",2024,"Aves","Falconiformes","Falconidae","Falco","dickinsoni","NULL","Sclater, 1864","Dickinson's kestrel","N. Botswana - Protected","Botswana","Botswana","Africa",-20.3803,24.1097,0,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL","Native","Not in GROMS","Encounter rate (birds 100 km-1)","Road transect survey","Supplementary Table 3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.27","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.15","NULL","NULL","NULL","NULL","NULL","NULL","Unknown","NULL","Unknown","II","Not listed","Yes","0","0","0","0","Unknown (large data set)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
29912,"Falco_ardosiaceus",0,0,"Shaw2024AfricanSavannaRaptors",2024,"Aves","Falconiformes","Falconidae","Falco","ardosiaceus","NULL","Vieillot, 1823","Grey kestrel","West Africa - Unprotected","Burkina Faso","Burkina Faso, Niger, Mali","Africa",13.6421,-0.9697,0,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL","Native","Not in GROMS","Encounter rate (birds 100 km-1)","Road transect survey","Supplementary Table 3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Unknown","NULL","Unknown","II","II","No","0","0","0","0","Unknown (large data set)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
29911,"Falco_ardosiaceus",0,0,"Shaw2024AfricanSavannaRaptors",2024,"Aves","Falconiformes","Falconidae","Falco","ardosiaceus","NULL","Vieillot, 1823","Grey kestrel","West Africa - Protected","Burkina Faso","Burkina Faso, Niger, Mali","Africa",14.9167,0.1971,0,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL","Native","Not in GROMS","Encounter rate (birds 100 km-1)","Road transect survey","Supplementary Table 3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5.6","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4.4000000000000004","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Unknown","NULL","Unknown","II","II","Yes","0","0","0","0","Unknown (large data set)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
